time_s,imu_id,qw,qx,qy,qz,gyro_x_dps,gyro_y_dps,gyro_z_dps,acc_x_ms2,acc_y_ms2,acc_z_ms2,mag_x_uT,mag_y_uT,mag_z_uT
0,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,0.00564734294124895,-1.28487026729692e-06,-9.81524614224279e-05,0.07,0.11,0.05,223.375,-178.6875,-565.25
0.016,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,-0.0496678753398724,-0.0285787030822016,0.00627146993989401,0.03,0.1,0.03,223.375,-178.6875,-565.25
0.032,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,-0.095150824685141,0.0270032017388761,0.00703307759292995,0.07,0.11,0.05,223.375,-178.6875,-565.25
0.048,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,-0.369612818673343,0.163581863073909,0.0279123934105314,0.06,0.13,0.05,223.75,-179.375,-564.5
0.064,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,-0.030307543283444,0.195311568842762,-0.00496817159501048,0.04,0.12,0.02,223.75,-179.375,-564.5
0.08,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,-0.0644958067462147,0.250890903923305,-0.0044028688648194,0.05,0.1,0.04,223.75,-179.375,-564.5
0.096,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,-0.0172462346390239,0.0555754804697412,0.000270845345923797,0.04,0.11,0.06,223.0625,-179.0625,-564.0625
0.112,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,-0.143052077263091,-0.141309019975811,0.0187398693966031,0.05,0.11,0.03,223.0625,-179.0625,-564.0625
0.128,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,-0.180773586249706,0.193737352369703,0.00843452839923591,0.06,0.11,0.05,223.75,-179.0625,-565.25
0.144,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,-0.0856227615645653,0.166734150630827,0.00140145080630596,0.04,0.12,0.03,223.75,-179.0625,-565.25
0.16,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,-0.167712277605286,0.054001263996683,0.0136735453401702,0.05,0.1,0.04,223.75,-179.0625,-565.25
0.176,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,0.0324216407008485,0.0841541835519428,-0.00600062459397021,0.03,0.11,0.06,223.0625,-179.375,-564.5
0.192,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,-0.114163682086087,0.222312200841103,0.00186860107507461,0.05,0.1,0.05,223.0625,-179.375,-564.5
0.208,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,-0.0627291839842925,0.111157385290819,0.00103245299895973,0.04,0.12,0.07,223.0625,-179.375,-564.5
0.224,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,-0.0341882634627707,0.0555793350805431,0.000565302730191081,0.03,0.11,0.05,223.0625,-180.5,-565.75
0.24,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,0.0211269548183506,0.0841567532924774,-0.00580431967112536,0.06,0.11,0.05,223.0625,-180.5,-565.75
0.256,node3,-0.16339111328125,-0.654296875,-0.16949462890625,0.7186279296875,0.0683765269255415,-0.111158670161086,-0.00113060546038216,0.05,0.13,0.06,223.0625,-180.5,-565.75
