time_s,imu_id,qw,qx,qy,qz,gyro_x_dps,gyro_y_dps,gyro_z_dps,acc_x_ms2,acc_y_ms2,acc_z_ms2,mag_x_uT,mag_y_uT,mag_z_uT
0.192,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.00949661676265326,8.75803633540926e-06,0.00016503745190584,0.1,-0.05,-0.09,-49.5625,-161.375,0.875
0.208,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0836146141336798,0.114660813709604,-0.0129388127759459,0.09,-0.03,-0.11,-49.5625,-161.375,0.875
0.224,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.199589681950306,0.10435269624871,0.0149910548897541,0.09,-0.06,-0.1,-49.5625,-161.375,0.875
0.24,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0508650713363229,0.109500186451905,0.000902342967974727,0.09,-0.04,-0.06,-49.25,-162.0625,1.6875
0.256,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.104298841420515,-0.0599150995018189,0.0133074655339803,0.1,-0.09,-0.06,-49.25,-162.0625,1.6875
0.272,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0,-0,0,0.08,-0.05,-0.1,-49.25,-162.0625,1.6875
0.288,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.00949661676265326,-8.75803633540926e-06,-0.00016503745190584,0.09,-0.05,-0.1,-50,-162.0625,0.0625
0.304,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0243427308514326,-0.0847098324859459,0.00616130192002633,0.09,-0.04,-0.07,-50,-162.0625,0.0625
0.32,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.074606613242956,0.109522081542744,0.00131493659773933,0.08,-0.04,-0.09,-50,-162.0625,0.0625
0.336,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.159311032193365,0.134321193545038,0.00854361893764622,0.09,-0.04,-0.08,-48.5,-162.0625,0.6875
0.352,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.264699678430608,0.213866019755118,0.0161409540355876,0.09,-0.03,-0.13,-48.5,-162.0625,0.6875
0.368,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0243427308514326,0.0847098324859459,-0.00616130192002633,0.08,-0.06,-0.1,-49.25,-161.0625,1.5625
0.384,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.049775266519594,0.0299597392599933,-0.00661247340401369,0.11,-0.05,-0.1,-49.25,-161.0625,1.5625
0.4,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0058381131980555,-0.139464304730066,0.00562761171008604,0.09,-0.04,-0.08,-49.25,-161.0625,1.5625
0.416,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0301808440494881,0.0547544722441203,0.000533690209940283,0.08,-0.05,-0.06,-50.25,-162.0625,2.1875
0.432,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0836146141336798,-0.114660813709604,0.0129388127759459,0.09,-0.05,-0.1,-50.25,-162.0625,2.1875
0.448,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0752078021877555,-0.0247903539659592,-0.00706364488800105,0.08,-0.04,-0.09,-50.25,-162.0625,2.1875
0.464,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0254325356681614,-0.0547500932259526,-0.000451171483987363,0.08,-0.04,-0.11,-49.25,-162.0625,1.375
0.48,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0651099964803028,0.109513323506408,0.00114989914583349,0.09,-0.04,-0.1,-49.25,-162.0625,1.375
0.496,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0105864215793821,-0.139468683748234,0.00554509298413313,0.07,-0.04,-0.07,-49.25,-162.0625,1.375
0.512,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0105864215793821,0.139468683748234,-0.00554509298413313,0.08,-0.05,-0.07,-49.25,-162.0625,3
0.528,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.125471684579279,-0.219022267994649,-0.00221727956571405,0.09,-0.05,-0.08,-49.25,-162.0625,3
0.544,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0402786497569408,-0.0299684972963287,0.00644743595210785,0.08,-0.04,-0.08,-49.5625,-162.5,1.375
0.56,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.174157146282144,-0.049602603022757,-0.0145398834057667,0.1,-0.04,-0.1,-49.5625,-162.5,1.375
0.576,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0450269581382674,-0.029964118278161,0.00652995467806077,0.09,-0.02,-0.08,-49.5625,-162.5,1.375
0.592,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0508650713363229,0.109500186451905,0.000902342967974727,0.1,-0.04,-0.08,-49.5625,-162.0625,0.75
0.608,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.143976302232656,-0.00515186922136326,0.0140061931958264,0.09,-0.05,-0.1,-49.5625,-162.0625,0.75
0.624,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0349291524308147,-0.054758851262288,-0.000616208935893203,0.1,-0.05,-0.1,-49.5625,-162.0625,0.75
0.64,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.140317798668058,0.134303677472367,0.00821354403383454,0.09,-0.03,-0.07,-49.5625,-161.6875,1.375
0.656,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.319223253331529,-0.183910659513292,-0.0228359461655542,0.08,-0.02,-0.09,-49.5625,-161.6875,1.375
0.672,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0592718832822473,0.0299509812236579,-0.00677751085591953,0.08,-0.05,-0.07,-49.5625,-161.6875,1.375
0.688,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0651099964803028,-0.109513323506408,-0.00114989914583349,0.08,-0.05,-0.08,-49.5625,-161.375,0.1875
0.704,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.155652528628767,0.273776740238769,0.00275096977565434,0.08,-0.03,-0.08,-49.5625,-161.375,0.1875
0.72,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0360189572475436,-0.194218776974186,0.00509392150014576,0.1,-0.04,-0.08,-49.5625,-161.6875,1.5625
0.736,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0391888449402119,0.169428423008227,-0.0121575663881468,0.09,-0.04,-0.09,-49.5625,-161.6875,1.5625
0.752,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.094201035713062,-0.0248078700386301,-0.00739371979181273,0.11,-0.04,-0.06,-49.5625,-161.6875,1.5625
0.768,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0788663057523532,-0.114665192727771,0.0128562940499929,0.09,-0.06,-0.08,-50,-162.5,2.1875
0.784,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0651099964803028,0.109513323506408,0.00114989914583349,0.09,-0.01,-0.1,-50,-162.5,2.1875
0.8,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0799561105690821,-0.0247947329841269,-0.00714616361395398,0.08,-0.04,-0.08,-50,-162.5,2.1875
0.816,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0545235749009206,-0.0299553602418256,0.00669499212996661,0.09,-0.05,-0.09,-49.25,-162.0625,1.1875
0.832,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0847044189504087,-0.0247991120022946,-0.00722868233990689,0.09,-0.06,-0.11,-49.25,-162.0625,1.1875
0.848,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0847044189504087,0.0247991120022946,0.00722868233990689,0.09,-0.04,-0.08,-49.25,-162.0625,1.1875
0.864,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0290910392327592,0.0847054534677782,-0.00624382064597925,0.09,-0.05,-0.08,-49.5625,-162.875,1.1875
0.88,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0455155740101968,-0.194227535010522,0.00492888404823992,0.09,-0.03,-0.1,-49.5625,-162.875,1.1875
0.896,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.170498642717546,0.189058149716488,0.00874723424377482,0.09,-0.04,-0.09,-48.5625,-162.0625,1.375
0.912,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0545235749009206,-0.0299553602418256,0.00669499212996661,0.07,-0.07,-0.1,-48.5625,-162.0625,1.375
0.928,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0741179973710266,-0.114669571745939,0.01277377532404,0.07,-0.05,-0.07,-48.5625,-162.0625,1.375
0.944,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0349291524308147,-0.054758851262288,-0.000616208935893203,0.09,-0.04,-0.07,-48.5625,-162.5,1.875
0.96,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0301808440494881,0.0547544722441203,0.000533690209940283,0.09,-0.05,-0.09,-48.5,-162.5,1.875
0.976,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0391888449402119,-0.169428423008227,0.0121575663881468,0.09,-0.04,-0.11,-48.5,-162.5,1.875
0.992,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.143976302232656,-0.00515186922136326,0.0140061931958264,0.09,-0.05,-0.09,-48.875,-162.0625,0.875
1.008,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0952908405297909,-0.164267795750528,-0.00168358935577377,0.09,-0.06,-0.1,-48.875,-162.0625,0.875
1.024,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0349291524308147,0.054758851262288,0.000616208935893203,0.09,-0.05,-0.1,-48.875,-162.0625,0.875
