time_s,imu_id,qw,qx,qy,qz,gyro_x_dps,gyro_y_dps,gyro_z_dps,acc_x_ms2,acc_y_ms2,acc_z_ms2,mag_x_uT,mag_y_uT,mag_z_uT
0,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.0354153301383725,-0.0513748283795735,-0.00056713839777732,0.06,-0.04,-0.06,-36.875,36,-39.1875
0.016,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.0660924207878845,-0.102750831178289,-0.00105182414891884,0.05,-0.03,-0.06,-36.875,36,-39.1875
0.032,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.117371592756007,0.0671686512345955,0.00537071965559115,0.06,-0.03,-0.06,-36.875,36,-39.1875
0.048,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.0317276836595002,0.173914016646534,-0.00750351421778999,0.05,-0.03,-0.07,-36.5625,36,-41.75
0.064,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.070830660276745,0.102749656759147,0.00113427679555464,0.04,-0.03,-0.06,-36.5625,36,-41.75
0.08,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.0370644535015411,-0.0355786566862679,0.0040715375667649,0.05,-0.04,-0.05,-36.5625,36,-41.75
0.096,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.0111256023408896,0.086955833904125,-0.00366930446225919,0.06,-0.02,-0.06,-36.875,36,-40.75
0.112,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.0047382394888605,-1.1744191418287e-06,8.2452646635804e-05,0.05,-0.03,-0.06,-36.875,36,-40.75
0.128,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.122109832244868,-0.0671674768154536,-0.00545317230222696,0.06,-0.04,-0.05,-35.875,35.25,-40.25
0.144,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.0354153301383725,-0.0513748283795735,-0.00056713839777732,0.05,-0.04,-0.07,-35.875,35.25,-40.25
0.16,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.0111256023408896,-0.086955833904125,0.00366930446225919,0.06,-0.05,-0.06,-35.875,35.25,-40.25
0.176,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.0819562626176345,-0.015793822855022,-0.00480358125781383,0.05,-0.05,-0.06,-36.875,36.375,-40.75
0.192,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.102558343936245,0.0711643598873867,-0.00863779101334463,0.06,-0.04,-0.05,-36.875,36.375,-40.75
0.208,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.0158638418297501,0.0869570083232668,-0.003751757108895,0.05,-0.04,-0.07,-36.875,36.375,-40.75
0.224,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.0512791719681226,-0.0355821799436933,0.00431889550667232,0.06,-0.02,-0.05,-36.1875,36.75,-40.5
0.24,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.0195514883086224,-0.13833183670284,0.00318461871111768,0.05,-0.04,-0.07,-36.1875,36.75,-40.5
0.256,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.15752516238324,-0.118542305195027,-0.00602031070000428,0.04,-0.05,-0.05,-36.1875,36.75,-40.5
0.272,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0,0,0,0.05,-0.04,-0.05,-36.5625,36,-40
0.288,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.107296583425106,-0.0711655343065285,0.00872024365998044,0.05,-0.04,-0.05,-36.5625,36,-40
0.304,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.040153569627233,-0.0513736539604317,-0.000649591044413124,0.03,-0.04,-0.06,-36.1875,36.375,-40
0.32,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0,0,0,0.07,-0.03,-0.06,-36.1875,36.375,-40
0.336,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.0660924207878845,-0.102750831178289,-0.00105182414891884,0.04,-0.03,-0.04,-36.1875,36.375,-40
0.352,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.122109832244868,0.0671674768154536,0.00545317230222696,0.04,-0.04,-0.06,-36.1875,37.1875,-40.75
0.368,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.040153569627233,0.0513736539604317,0.000649591044413124,0.06,-0.03,-0.04,-36.1875,37.1875,-40.75
0.384,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.0914327415953556,0.0157914740167383,0.00496848655108544,0.06,-0.03,-0.06,-36.1875,37.1875,-40.75
0.4,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.147450153052339,0.0197918803460969,-0.00936983470439356,0.06,-0.04,-0.05,-36.5625,36.75,-40.875
0.416,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.20511668787249,-0.142328719774773,0.0172755820266893,0.05,-0.04,-0.02,-36.5625,36.75,-40.875
0.432,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.0269894441706397,-0.173912842227392,0.00742106157115419,0.04,-0.03,-0.03,-36.5625,36.75,-40.875
0.448,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.133235434585757,-0.0197883570886714,0.00912247676448615,0.06,-0.04,-0.05,-36.1875,36,-40.25
0.464,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.110984229903978,0.154123310719579,0.00178386783996776,0.04,-0.04,-0.05,-36.1875,36,-40.25
0.48,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.137973674074618,-0.0197895315078132,0.00920492941112195,0.06,-0.04,-0.04,-36.5625,36.375,-40.0625
0.496,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.153837515904368,-0.10674653983108,0.012956686520017,0.06,-0.02,-0.05,-36.5625,36.375,-40.0625
0.512,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.0047382394888605,1.1744191418287e-06,-8.2452646635804e-05,0.05,-0.04,-0.05,-36.5625,36.375,-40.0625
0.528,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.0269894441706397,-0.173912842227392,0.00742106157115419,0.06,-0.05,-0.05,-35.375,36,-40.0625
0.544,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.126848071733728,-0.0671663023963118,-0.00553562494886276,0.04,-0.03,-0.05,-35.375,36,-40.0625
0.56,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.0269894441706397,-0.173912842227392,0.00742106157115419,0.05,-0.02,-0.05,-35.375,36,-40.0625
0.576,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.030677090649512,-0.0513760027987153,-0.000484685751141516,0.05,-0.03,-0.06,-36.1875,36,-40.5
0.592,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.167001641360961,-0.118539956356743,-0.00618521599327588,0.06,-0.03,-0.07,-36.1875,36,-40.5
0.608,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.0253403208074711,-0.0869593571615505,0.0039166624021666,0.05,-0.03,-0.06,-36.1875,36,-40.5
0.624,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.16865076472413,0.0315864712909021,0.00968961516226347,0.05,-0.06,-0.05,-35.875,36,-39.5
0.64,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.149099276415507,-0.106745365411938,0.0128742338733811,0.07,-0.04,-0.06,-35.875,36,-39.5
0.656,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.0269894441706397,0.173912842227392,-0.00742106157115419,0.04,-0.03,-0.05,-36.875,36.75,-39.6875
0.672,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.18451460655388,0.0553705370323647,-0.0134413722711585,0.04,-0.04,-0.05,-36.875,36.75,-39.6875
0.688,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.118422185765995,0.158121368210654,-0.0123895481222396,0.04,-0.03,-0.05,-36.875,36.75,-39.6875
0.704,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.15752516238324,0.118542305195027,0.00602031070000428,0.07,-0.05,-0.04,-36.5625,36,-39.6875
0.72,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,0.0866945021064951,-0.0157926484358801,-0.00488603390444964,0.05,-0.02,-0.04,-36.5625,36,-39.6875
0.736,node10,0.19769287109375,0.650390625,0.2232666015625,-0.6986083984375,-0.0914327415953556,0.0157914740167383,0.00496848655108544,0.04,-0.04,-0.05,-36.5625,36,-39.6875
